set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix0351,caution,v11core,static,5,0,4.9399999999999995,6.04
val,fold2_room1_mix0352,na,v11core,static,0,0,,
val,fold2_room1_mix0353,critical,v11core,static,2,0,7.25,8.15
val,fold2_room1_mix0354,safe,v11core,static,3,0,2.219999999999999,2.8199999999999994
val,fold2_room1_mix0355,critical,v11core,walk,5,0,1.5099999999999998,2.1099999999999994
val,fold2_room1_mix0356,caution,v11core,static,2,0,5.91,6.81
val,fold2_room1_mix0357,critical,v11core,static,2,0,3.4000000000000004,4.4
val,fold2_room1_mix0358,critical,v11core,walk,2,0,2.5199999999999996,2.42
val,fold2_room1_mix0359,caution,v11core,static,4,0,6.02,8.219999999999999
val,fold2_room1_mix0360,na,v11core,walk,3,0,,
val,fold2_room1_mix0361,critical,v11core,static,1,0,3.0300000000000002,4.43
val,fold2_room1_mix0362,na,v11core,static,3,0,,
val,fold2_room1_mix0363,critical,v11core,static,7,0,4.07,4.77
val,fold2_room1_mix0364,safe,v11core,static,3,0,2.2,2.8
val,fold2_room1_mix0365,na,v11core,static,4,0,,
val,fold2_room1_mix0366,critical,v11core,static,2,0,5.8,6.7
val,fold2_room1_mix0367,safe,v11core,walk,7,0,6.8100000000000005,7.8100000000000005
val,fold2_room1_mix0368,critical,v11core,walk,2,0,5.779999999999999,6.78
val,fold2_room1_mix0369,critical,v11core,static,4,0,7.51,8.41
val,fold2_room1_mix0370,safe,v11core,walk,8,0,5.66,6.66
val,fold2_room1_mix0371,na,v11core,static,2,0,,
