type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
water,-868.0,52.9,-871.5,49.8,3.0,,
water,-871.5,49.8,-872.5,47.3,3.0,,
water,-872.5,47.3,-873.7,45.8,3.0,,
water,-873.7,45.8,-876.1,44.9,3.0,,
water,-876.1,44.9,-877.6,43.2,3.0,,
water,-877.6,43.2,-879.5,40.2,3.0,,
water,-879.5,40.2,-881.9,37.6,3.0,,
water,-881.9,37.6,-886.5,35.1,3.0,,
water,-886.5,35.1,-888.3,34.4,3.0,,
water,-888.3,34.4,-889.2,33.8,3.0,,
water,-889.2,33.8,-889.6,32.7,3.0,,
water,-889.6,32.7,-889.9,32.0,3.0,,
water,-889.9,32.0,-890.6,31.1,3.0,,
water,-890.6,31.1,-891.9,29.8,3.0,,
water,-891.9,29.8,-893.3,27.6,3.0,,
water,-893.3,27.6,-900.0,23.0,3.0,,
water,-900.0,23.0,-908.2,17.5,3.0,,
water,-908.2,17.5,-911.8,16.0,3.0,,
water,-911.8,16.0,-914.8,11.9,3.0,,
water,-914.8,11.9,-921.0,7.6,3.0,,
water,-921.0,7.6,-924.2,4.6,3.0,,
water,-924.2,4.6,-924.4,4.5,3.0,,
water,-924.4,4.5,-926.6,3.9,3.0,,
water,-926.6,3.9,-930.0,2.6,3.0,,
water,-930.0,2.6,-932.8,-0.2,3.0,,
water,-932.8,-0.2,-934.1,-3.3,3.0,,
water,-934.1,-3.3,-936.7,-5.0,3.0,,
water,-936.7,-5.0,-945.1,-8.8,3.0,,
water,-945.1,-8.8,-951.4,-10.4,3.0,,
water,-951.4,-10.4,-953.3,-11.8,3.0,,
water,-953.3,-11.8,-954.6,-14.2,3.0,,
water,-954.6,-14.2,-956.4,-14.3,3.0,,
water,-956.4,-14.3,-957.7,-12.2,3.0,,
water,-957.7,-12.2,-959.7,-12.5,3.0,,
water,-959.7,-12.5,-963.1,-15.7,3.0,,
water,-963.1,-15.7,-965.4,-17.1,3.0,,
water,-965.4,-17.1,-972.9,-19.4,3.0,,
