half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,189,ts+brg9+mn4/6+rc(0.10,8)+link,85.22,96.91,93.40,65.00,4.55,1.70,35.22,1721
0,190,ts+brg9+mn4/6+rc(0.10,15),88.66,96.22,93.67,62.86,4.55,1.90,37.95,1738
0,191,ts+brg9+mn4/6+rc(0.10,15)+link,88.32,96.56,93.67,62.62,4.55,1.90,37.89,1736
0,192,ts+brg9+mn4/6+rc(0.20,8),86.60,96.56,93.40,64.76,4.55,1.80,35.43,1717
0,193,ts+brg9+mn4/6+rc(0.20,8)+link,86.25,96.91,93.40,64.52,4.55,1.80,35.38,1715
0,194,ts+brg9+mn4/6+rc(0.20,15),90.72,96.91,94.46,55.48,4.55,2.00,38.75,1745
0,195,ts+brg9+mn4/6+rc(0.20,15)+link,90.38,97.59,94.46,55.48,4.55,2.00,38.63,1743
0,196,ts+brg9+mn3/5,91.07,97.94,95.25,58.33,4.55,2.10,41.33,1931
0,197,ts+brg9+mn3/5+link,91.75,98.28,95.25,58.33,4.55,2.10,41.27,1927
0,198,ts+brg9+mn3/5+rc(0.05,8),91.41,97.94,95.25,58.33,4.55,2.10,41.64,1935
0,199,ts+brg9+mn3/5+rc(0.05,8)+link,92.10,98.28,95.25,58.57,4.55,2.10,41.58,1930
0,200,ts+brg9+mn3/5+rc(0.05,15),92.44,97.94,95.25,57.86,4.55,2.10,41.64,1934
0,201,ts+brg9+mn3/5+rc(0.05,15)+link,92.78,98.28,95.25,58.10,4.55,2.10,41.58,1929
0,202,ts+brg9+mn3/5+rc(0.10,8),91.41,97.94,95.25,58.33,4.55,2.10,41.80,1929
0,203,ts+brg9+mn3/5+rc(0.10,8)+link,92.10,98.28,95.25,58.57,4.55,2.10,41.73,1924
0,204,ts+brg9+mn3/5+rc(0.10,15),93.81,97.94,95.78,56.90,4.55,2.20,43.21,1922
0,205,ts+brg9+mn3/5+rc(0.10,15)+link,94.16,98.28,95.78,57.14,4.55,2.20,43.14,1917
0,206,ts+brg9+mn3/5+rc(0.20,8),92.10,97.94,95.25,57.86,4.55,2.10,41.64,1911
0,207,ts+brg9+mn3/5+rc(0.20,8)+link,92.44,98.28,95.25,58.33,4.55,2.10,41.58,1905
0,208,ts+brg9+mn3/5+rc(0.20,15),94.50,98.28,96.04,48.81,4.55,2.20,43.23,1921
0,209,ts+brg9+mn3/5+rc(0.20,15)+link,94.85,98.63,96.04,49.29,4.55,2.20,43.16,1915
0,210,ts+brg13+mn4/4,85.57,95.88,93.67,65.24,4.55,1.60,32.33,1593
0,211,ts+brg13+mn4/4+link,85.91,96.22,93.67,65.00,4.55,1.60,32.28,1591
