half,idx,label,strong,crit,caut,safe,lead,lead25,n_fire
1,3,brg5+mn4/4+rc(0.05,8)+link,76.85,93.62,89.31,77.86,1.20,27.62,1509
1,4,brg5+mn4/4+rc(0.05,15),76.85,92.95,89.31,77.34,1.20,28.98,1511
1,5,brg5+mn4/4+rc(0.05,15)+link,77.85,93.62,89.31,77.34,1.20,28.89,1517
1,6,brg5+mn4/4+rc(0.10,8),76.85,92.95,89.31,77.86,1.20,28.03,1503
1,7,brg5+mn4/4+rc(0.10,8)+link,77.85,93.62,89.31,77.86,1.20,27.94,1509
1,8,brg5+mn4/4+rc(0.10,15),80.54,92.95,89.82,76.04,1.40,31.11,1558
1,9,brg5+mn4/4+rc(0.10,15)+link,81.54,93.62,89.82,76.04,1.40,31.01,1564
1,10,brg5+mn4/4+rc(0.20,8),79.87,92.95,89.57,77.08,1.20,27.98,1512
1,11,brg5+mn4/4+rc(0.20,8)+link,80.87,93.62,89.57,77.08,1.20,27.89,1518
1,12,brg5+mn4/4+rc(0.20,15),85.91,93.62,92.11,65.10,1.60,32.14,1606
1,13,brg5+mn4/4+rc(0.20,15)+link,86.91,94.30,92.11,65.10,1.60,32.04,1610
1,14,brg5+mn4/6,78.86,93.96,91.35,73.96,1.50,31.30,1682
1,15,brg5+mn4/6+link,79.53,94.63,91.35,73.96,1.50,31.20,1688
